reg_id,date,status
22EC001,2026-05-25,Present
22EC001,2026-05-26,Absent
22EC001,2026-05-27,Present
22EC001,2026-05-28,Present
22EC001,2026-05-29,Present
22EC001,2026-05-30,Absent
22EC001,2026-05-31,Present

22EC002,2026-05-25,Present
22EC002,2026-05-26,Present
22EC002,2026-05-27,Present
22EC002,2026-05-28,Absent
22EC002,2026-05-29,Present
22EC002,2026-05-30,Present
22EC002,2026-05-31,Present

22EC003,2026-05-25,Absent
22EC003,2026-05-26,Present
22EC003,2026-05-27,Present
22EC003,2026-05-28,Present
22EC003,2026-05-29,Absent
22EC003,2026-05-30,Present
22EC003,2026-05-31,Present

22EC004,2026-05-25,Present
22EC004,2026-05-26,Present
22EC004,2026-05-27,Absent
22EC004,2026-05-28,Present
22EC004,2026-05-29,Present
22EC004,2026-05-30,Present
22EC004,2026-05-31,Present

22EC005,2026-05-25,Present
22EC005,2026-05-26,Present
22EC005,2026-05-27,Present
22EC005,2026-05-28,Present
22EC005,2026-05-29,Present
22EC005,2026-05-30,Present
22EC005,2026-05-31,Present

22EC006,2026-05-25,Absent
22EC006,2026-05-26,Present
22EC006,2026-05-27,Present
22EC006,2026-05-28,Present
22EC006,2026-05-29,Absent
22EC006,2026-05-30,Present
22EC006,2026-05-31,Present

22EC007,2026-05-25,Present
22EC007,2026-05-26,Absent
22EC007,2026-05-27,Present
22EC007,2026-05-28,Present
22EC007,2026-05-29,Present
22EC007,2026-05-30,Absent
22EC007,2026-05-31,Present

22EC008,2026-05-25,Present
22EC008,2026-05-26,Present
22EC008,2026-05-27,Present
22EC008,2026-05-28,Present
22EC008,2026-05-29,Present
22EC008,2026-05-30,Present
22EC008,2026-05-31,Present

22EC009,2026-05-25,Present
22EC009,2026-05-26,Present
22EC009,2026-05-27,Absent
22EC009,2026-05-28,Present
22EC009,2026-05-29,Present
22EC009,2026-05-30,Present
22EC009,2026-05-31,Present

22EC010,2026-05-25,Absent
22EC010,2026-05-26,Present
22EC010,2026-05-27,Present
22EC010,2026-05-28,Absent
22EC010,2026-05-29,Present
22EC010,2026-05-30,Present
22EC010,2026-05-31,Present
