reg_id,total_fee,paid_fee,balance_fee
22EC001,80000,60000,20000
22EC002,80000,80000,0
22EC003,80000,50000,30000
22EC004,80000,70000,10000
22EC005,80000,80000,0
22EC006,80000,55000,25000
22EC007,80000,40000,40000
22EC008,80000,75000,5000
22EC009,80000,80000,0
22EC010,80000,65000,15000
22EC011,80000,70000,10000
22EC012,80000,80000,0
22EC013,80000,50000,30000
22EC014,80000,60000,20000
22EC015,80000,45000,35000
22EC016,80000,80000,0
22EC017,80000,55000,25000
22EC018,80000,75000,5000
22EC019,80000,60000,20000
22EC020,80000,80000,0
